IndexPrdVente;CodePrdVente;LibellePrdVente;CodeFamilleVente;LibelleFamilleVente;TauxTva;CodeMC;CodeStatistique;pointDeVente
1;;Chambre;CH;CHAMBRE;10;CHAMBRE;CHB;HOTEL
2;FLAMMENATURE;Flammeküsche nature avec lardons;EN;ENTREES;10;RESTAURANT CARTES;REST;RESTAURANT
3;FLAMMEGRATINEE;Flammeküsche gratin�e;EN;ENTREES;10;RESTAURANT CARTES;REST;RESTAURANT
4;FLAMMESAVOYARDE;Flammeküsche Savoyarde & V�g�;EN;ENTREES;10;RESTAURANT CARTES;REST;RESTAURANT
5;DUOTOMATES;Duo de Tomates et Mozzarella;EN;ENTREES;10;RESTAURANT CARTES;REST;RESTAURANT
6;SALADEESTIVALE;Salade Estivale;EN;ENTREES;10;RESTAURANT CARTES;REST;RESTAURANT
7;SALADEECHIQUIER;Salade de l'Echiquier;EN;ENTREES;10;RESTAURANT CARTES;REST;RESTAURANT
8;CARPACCIO;Carpaccio de Boeuf;EN;ENTREES;10;RESTAURANT CARTES;REST;RESTAURANT
9;TATAKITHON;Tataki de thon et sa salade Wakam�;EN;ENTREES;10;RESTAURANT CARTES;REST;RESTAURANT
10;FOIEGRAS;Foie Gras de Canard;PV;VIANDES;10;RESTAURANT CARTES;REST;RESTAURANT
11;ASSIETTEALPAGES;Assiete des Alpages;PV;VIANDES;10;RESTAURANT CARTES;REST;RESTAURANT
12;POISSON;Notre Poisson de Lac;PO;POISSONS;10;RESTAURANT CARTES;REST;RESTAURANT
13;QUENELLE;Quenelle de Brochet moul�e;PO;POISSONS;10;RESTAURANT CARTES;REST;RESTAURANT
14;FRITURE;Petite friture de perchot;PO;POISSONS;10;RESTAURANT CARTES;REST;RESTAURANT
15;AGNEAU;Souris d'Agneau confite;PV;VIANDES;10;RESTAURANT CARTES;REST;RESTAURANT
16;TARTARE;Tartare de Boeuf tradition;PV;VIANDES;10;RESTAURANT CARTES;REST;RESTAURANT
17;REVARD;Le Moelleux du Revard;SP;SPECIALITES;10;RESTAURANT CARTES;REST;RESTAURANT
18;NOUGATGLACE;Nougat Glac�;TP;DESSERTS PATISS;10;RESTAURANT CARTES;REST;RESTAURANT
19;FROMAGEBLANC;Fromage Blanc en faisselle;TF;FROMAGES;10;RESTAURANT CARTES;REST;RESTAURANT
20;FROMAGE;L'assiette de Fromage de nos r�gions;TF;FROMAGES;10;RESTAURANT CARTES;REST;RESTAURANT
21;OEUFNEIGE;Oeuf � la Neige;TP;DESSERTS PATISS;10;RESTAURANT CARTES;REST;RESTAURANT
22;CAFEGOURMAND;Caf� Gourmand;TP;DESSERTS PATISS;10;RESTAURANT CARTES;REST;RESTAURANT
23;THEGOURMAND;Th� Gourmand;TP;DESSERTS PATISS;10;RESTAURANT CARTES;REST;RESTAURANT
24;MOEULLEUXCHOC;Moeulleux au Chocolat;TP;DESSERTS PATISS;10;RESTAURANT CARTES;REST;RESTAURANT
25;SOUPEFRUIT;Soupe de Fruits;TP;DESSERTS PATISS;10;RESTAURANT CARTES;REST;RESTAURANT
26;COUPESALCOOL;Coupes glac�ealcoolis�es;TP;DESSERTS PATISS;10;RESTAURANT CARTES;REST;RESTAURANT
27;COUPESCLASSIQUES;Coupes Classiques;TP;DESSERTS PATISS;10;RESTAURANT CARTES;REST;RESTAURANT
28;BOULEGLACE;La Boule de Glace;TP;DESSERTS PATISS;10;RESTAURANT CARTES;REST;RESTAURANT
29;FETESMAMANS;Menu F�tes de Mamans;ME;MENU;10;RESTAURANT MENUS;REST;RESTAURANT
30;FETESMERES;Menu F�tes des M�res;ME;MENU;10;RESTAURANT MENUS;REST;RESTAURANT
31;COTESCATALANES;C�tes Catalanes 75cl;VG;VIN DU LANGUEDOC;20;CAVE;BARA;BAR
32;COTESROUSILLON;C�tes du Roussillon 75cl;VG;VIN DU LANGUEDOC;20;CAVE;BARA;BAR
33;COTESROUSSILLCINSAUL;C�tes du Roussillon Cincault 75cl;VG;VIN DU LANGUEDOC;20;CAVE;BARA;BAR
34;CARIGNAN;Carignan 75cl;VP;VIN DE PROVENCE;20;CAVE;BARA;BAR
35;VIOGNIER;Viognier 75cl;VP;VIN DE PROVENCE;20;CAVE;BARA;BAR
36;SYRAH;Syrah 75cl;VP;VIN DE PROVENCE;20;CAVE;BARA;BAR
37;ROUSSETTECRU;Roussette Cru Marestel 75cl;VS;VIN DE SAVOIE;20;CAVE;BARA;BAR
38;ROUSSETTEALTESSE1;Roussette Altesse 75cl;VS;VIN DE SAVOIE;20;CAVE;BARA;BAR
39;ROUSSETTEALTESSE2;Roussette Altesse 37,5cl;VS;VIN DE SAVOIE;20;CAVE;BARA;BAR
40;PETILLANT;P�tillant Jongieux 75cl;VS;VIN DE SAVOIE;20;CAVE;BARA;BAR
41;CHIGNINVIEILLES1;Chignin Vieilles Vignes 75cl;VS;VIN DE SAVOIE;20;CAVE;BARA;BAR
42;CHIGNINVIEILLES2;Chignin Vieilles Vignes 37,5cl;VS;VIN DE SAVOIE;20;CAVE;BARA;BAR
43;CHIGNINBERGERON1;Chignin Bergeron 75cl;VS;VIN DE SAVOIE;20;CAVE;BARA;BAR
44;CHIGNINBERGERON2;Chignin Bergeron 37,5cl;VS;VIN DE SAVOIE;20;CAVE;BARA;BAR
45;GAMAYSAVOIE1;Gamay de Savoie 75cl;VS;VIN DE SAVOIE;20;CAVE;BARA;BAR
46;GAMAYSAVOIE2;Gamay de Savoie 37,5cl;VS;VIN DE SAVOIE;20;CAVE;BARA;BAR
47;MONDEUSE;Mondeuse Arbin 75cl;VS;VIN DE SAVOIE;20;CAVE;BARA;BAR
48;GAMAYROSE1;Gamay Ros� 75cl;VS;VIN DE SAVOIE;20;CAVE;BARA;BAR
49;GAMAYROSE2;Gamay Ros� 37,5cl;VS;VIN DE SAVOIE;20;CAVE;BARA;BAR
50;MUSCAT;Muscat Glintzberg 75cl;VA;VIN ALSACE;20;CAVE;BARA;BAR
51;PINOTGRISVT;Pinot Gris V.T 75cl;VA;VIN ALSACE;20;CAVE;BARA;BAR
52;PINOTGRISALTENBERG;Pinot Gris Altenberg de Berbieten 75cl;VA;VIN ALSACE;20;CAVE;BARA;BAR
53;PINOTBLANC;Pinot Blanc 75cl;VA;VIN ALSACE;20;CAVE;BARA;BAR
54;RIESLINGGRAND;Riesling Grand Cru 75cl;VA;VIN ALSACE;20;CAVE;BARA;BAR
55;RIESLINGVT;Riesling V.T 75cl;VA;VIN ALSACE;20;CAVE;BARA;BAR
56;GEWURZTSGN;Gewurztraminer S.G.N 50cl;VA;VIN ALSACE;20;CAVE;BARA;BAR
57;PINOTNOIR;Pinot Noir 75cl;VA;VIN ALSACE;20;CAVE;BARA;BAR
58;CHAMPBRUT;Champagne Brut 75cl;VC;VIN CHAMPGANE;20;CAVE;BARA;BAR
59;CHAMPBRUTROSE;Champagne Brut Rose 75cl;VC;VIN CHAMPGANE;20;CAVE;BARA;BAR
60;ORANGERIE2;L'Orangerie de Carignan 37,5cl;VX;VIN DE BORDEAUX;20;CAVE;BARA;BAR
61;PLANTIER2;Ch�teau Le Vieux Plantier 37,5cl;VX;VIN DE BORDEAUX;20;CAVE;BARA;BAR
62;METAIRIE1;Ch�teau La Grande M�tairie 75cl;VX;VIN DE BORDEAUX;20;CAVE;BARA;BAR
63;LAPLAGNOTTE2;Ch�teau Laplagnotte Bellevue 37,5cl;VX;VIN DE BORDEAUX;20;CAVE;BARA;BAR
64;LALANDE1;Ch�teau Lalande Borie 75cl;VX;VIN DE BORDEAUX;20;CAVE;BARA;BAR
65;DULUC1;Ch�teau Duluc St Julien 75cl;VX;VIN DE BORDEAUX;20;CAVE;BARA;BAR
66;CHEVALIER1;Ch�teau Chevalier de Rauzan Gassies 75cl;VX;VIN DE BORDEAUX;20;CAVE;BARA;BAR
67;MEDOC1;Ch�teau Le Haut M�doc 75cl;VX;VIN DE BORDEAUX;20;CAVE;BARA;BAR
68;PAVILLON1;Chateau Pavillon Rouge 75cl;VX;VIN DE BORDEAUX;20;CAVE;BARA;BAR
69;MONTROSE1;Ch�teau Montrose Gd cru Class� 75cl;VX;VIN DE BORDEAUX;20;CAVE;BARA;BAR
70;ESTOURNEL1;Cos d'Estournel Gd cru Class� 75cl;VX;VIN DE BORDEAUX;20;CAVE;BARA;BAR
71;BEAUCAILLOU1;Ch�teau Ducru Beaucaillou 75cl;VX;VIN DE BORDEAUX;20;CAVE;BARA;BAR
72;CHABLIS1;Chablis 75cl;VB;VIN BOURGOGNE;20;CAVE;BARA;BAR
73;CHABLIS2;Chablis 37,5cl;VB;VIN BOURGOGNE;20;CAVE;BARA;BAR
74;RULLY1;Rully 75cl;VB;VIN BOURGOGNE;20;CAVE;BARA;BAR
75;PERNAND;Pernand Vergelesses 75cl;VB;VIN BOURGOGNE;20;CAVE;BARA;BAR
76;CHOREY;Chorey-Les-Beaune 75cl;VB;VIN BOURGOGNE;20;CAVE;BARA;BAR
77;SANTENAY;Santenay 75cl;VB;VIN BOURGOGNE;20;CAVE;BARA;BAR
78;ECHEZEAUX;Ech�zeaux 75cl;VB;VIN BOURGOGNE;20;CAVE;BARA;BAR
79;VOUGEOT;Clos de Vougeot 75cl;VB;VIN BOURGOGNE;20;CAVE;BARA;BAR
80;CORTONGRAND;Corton Grand Cru 75cl;VB;VIN BOURGOGNE;20;CAVE;BARA;BAR
81;CORTONCHARLE;Corton Charlemagne 75cl;VB;VIN BOURGOGNE;20;CAVE;BARA;BAR
82;VACQUEYRAS1;Vacqueyras Garrigue 75cl;VR;VIN DU RHONE;20;CAVE;BARA;BAR
83;VACQUEYRAS2;Vacqueyras Garrigue 37,5cl;VR;VIN DU RHONE;20;CAVE;BARA;BAR
84;HERMIT1;Ch�teau Hermit 75cl;VP;VIN DE PROVENCE;20;CAVE;BARA;BAR
85;HERMIT2;Ch�teau Hermit 37,5cl;VP;VIN DE PROVENCE;20;CAVE;BARA;BAR
86;HERMITAGE;Hermitage 75cl;VR;VIN DU RHONE;20;CAVE;BARA;BAR
87;COTESRHONE;C�tes du Rh�nes La Cabotte 75cl;VR;VIN DU RHONE;20;CAVE;BARA;BAR
88;GIGONDAS;Gigondas 75cl;VR;VIN DU RHONE;20;CAVE;BARA;BAR
89;COTEROTIE;C�te R�tie 75cl;VR;VIN DU RHONE;20;CAVE;BARA;BAR
90;COTEROTIETURQUE;C�te R�tie La Turque 75cl;VR;VIN DU RHONE;20;CAVE;BARA;BAR
91;MUSCATBEAUMES;Muscat de Beaumes de Venise 75cl;VR;VIN DU RHONE;20;CAVE;BARA;BAR
92;HERMITSTMARTIN1;Ch�teau Hermit St Martin 75cl;VR;VIN DU RHONE;20;CAVE;BARA;BAR
93;HERMITSTMARTIN2;Ch�teau Hermit St Martin 37,5cl;VR;VIN DU RHONE;20;CAVE;BARA;BAR
94;CONDRIEU;Condrieu 75cl;VR;VIN DU RHONE;20;CAVE;BARA;BAR
95;MOUTETE1;La Mout�te 75cl;VR;VIN DU RHONE;20;CAVE;BARA;BAR
96;MOUTETE2;La Mout�te 37,5cl;VR;VIN DU RHONE;20;CAVE;BARA;BAR
97;AUMERADE;L'aum�rade 75cl;VR;VIN DU RHONE;20;CAVE;BARA;BAR
98;BITTERSANPE;Bitter San Pellegrino;BARS;BAR SOFT;10;BAR SOFT;BARS;BAR
99;PALERMOROUGE;Palermo Rouge;BARS;BAR SOFT;10;BAR SOFT;BARS;BAR
100;PALERMOGENTIANE;Palermo Gentiane;BARS;BAR SOFT;10;BAR SOFT;BARS;BAR
101;COUPECHAMP;L a Coupe de Champagne;AP;APERITIFS;20;BAR ALCOOL;BARA;BAR
102;KIRROYALE;Kir Royale;AP;APERITIFS;20;BAR ALCOOL;BARA;BAR
103;KIRPETILLANT;Kir P�tillant;AP;APERITIFS;20;BAR ALCOOL;BARA;BAR
104;COUPEPETILLANT;La Coupe de P�tillant;AP;APERITIFS;20;BAR ALCOOL;BARA;BAR
105;KIRBLANC;Kir Vin Blanc de Savoie;AP;APERITIFS;20;BAR ALCOOL;BARA;BAR
106;STELLA;Stella Artois 25cl;BI;BIERES;20;BAR ALCOOL;BARA;BAR
107;LEFFE;Leffe 25cl;BI;BIERES;20;BAR ALCOOL;BARA;BAR
108;LEFFERUBY;Leffe Ruby 25cl;BI;BIERES;20;BAR ALCOOL;BARA;BAR
109;AMERICANO;Am�ricano Maison;AP;APERITIFS;20;BAR ALCOOL;BARA;BAR
110;PORTOROUGE;Porto rouge;AP;APERITIFS;20;BAR ALCOOL;BARA;BAR
111;PORTOBLANC;Porto Blanc;AP;APERITIFS;20;BAR ALCOOL;BARA;BAR
112;ANISE;Anis�;AP;APERITIFS;20;BAR ALCOOL;BARA;BAR
113;SUZE;Suze;AP;APERITIFS;20;BAR ALCOOL;BARA;BAR
114;CAMPARI;Campari;AP;APERITIFS;20;BAR ALCOOL;BARA;BAR
115;CINZANO;Cinzano;AP;APERITIFS;20;BAR ALCOOL;BARA;BAR
116;MARTINIROUGE;Martini rouge;AP;APERITIFS;20;BAR ALCOOL;BARA;BAR
117;MARTINIBLANC;Martini blanc;AP;APERITIFS;20;BAR ALCOOL;BARA;BAR
118;JUSFRUITS;Jus de Fruits;JUS;JUS DE FRUITS;10;BAR SOFT;BARS;BAR
119;SODAS;Sodas;BARS;BAR SOFT;10;BAR SOFT;BARS;BAR
120;COCKTAILMAISON;Cocktail Maison;CKS;COCKTAIL SOFT;10;BAR SOFT;BARS;BAR
121;CHARTREUSE;Chartreuse;AD;ALCOOL DIGESTIFS;20;BAR ALCOOL;BARA;BAR
122;GENEPI;G�n�pi;AD;ALCOOL DIGESTIFS;20;BAR ALCOOL;BARA;BAR
123;COINTREAU;Cointreau;AD;ALCOOL DIGESTIFS;20;BAR ALCOOL;BARA;BAR
124;GRANDMARNIER;Grand Marnier;AD;ALCOOL DIGESTIFS;20;BAR ALCOOL;BARA;BAR
125;EAUVIEBLANCHE;Eau de vie Blanche;AD;ALCOOL DIGESTIFS;20;BAR ALCOOL;BARA;BAR
126;MARTINICOCA;Martini Blanc Coca;CKA;COCKTAIL ALCOOL;20;BAR ALCOOL;BARA;BAR
127;VODKAPOMME;Vodka Pomme;CKA;COCKTAIL ALCOOL;20;BAR ALCOOL;BARA;BAR
128;PICONBIERE;Picon Bi�re;CKA;COCKTAIL ALCOOL;20;BAR ALCOOL;BARA;BAR
129;GINTONIC;Gin Tonic;CKA;COCKTAIL ALCOOL;20;BAR ALCOOL;BARA;BAR
130;DRYMARTINI;Dry Martini;CKA;COCKTAIL ALCOOL;20;BAR ALCOOL;BARA;BAR
131;BLOODYMARY;Bloody Mary;CKA;COCKTAIL ALCOOL;20;BAR ALCOOL;BARA;BAR
132;CLANCAMPBEL;Clan Campbel;AP;APERITIFS;20;BAR ALCOOL;BARA;BAR
133;OBAN;Oban;AP;APERITIFS;20;BAR ALCOOL;BARA;BAR
134;GLENKINCHIE;Glenkinchie;AP;APERITIFS;20;BAR ALCOOL;BARA;BAR
135;LAGAVULIN;Lagavulin;AP;APERITIFS;20;BAR ALCOOL;BARA;BAR
136;CHIVAS;Chivas Regal;AP;APERITIFS;20;BAR ALCOOL;BARA;BAR
137;GLENLIVET12;Glenlivet 12 ans d'�ge;AP;APERITIFS;20;BAR ALCOOL;BARA;BAR
138;GLENLIVET15;Glenlivet 15 ans d'�ge;AP;APERITIFS;20;BAR ALCOOL;BARA;BAR
139;GLENLIVET18;Glenlivet 18 ans d'�ge;AP;APERITIFS;20;BAR ALCOOL;BARA;BAR
140;JAMESON;Jameson;AP;APERITIFS;20;BAR ALCOOL;BARA;BAR
141;CH*DBLE;Chambre Double;CH;CHAMBRE;10;CHAMBRE;CHB;HOTEL
142;CH*TWIN;Chambre Twin;CH;CHAMBRE;10;CHAMBRE;CHB;HOTEL
143;CH*TRIPLE;Chambre Triple;CH;CHAMBRE;10;CHAMBRE;CHB;HOTEL
144;CH*QUAD;Chambre Quadruple;CH;CHAMBRE;10;CHAMBRE;CHB;HOTEL
145;CH*CONF+;Chambre Confort +;CH;CHAMBRE;10;CHAMBRE;CHB;HOTEL
146;PDJA;Petit D�jeuner Adulte;PDJ;PETIT DEJEUNER;10;PETIT DEJEUNER;PDJ;HOTEL
147;PDJE;Petit D�jeuner Enfant -12 ans;PDJ;PETIT DEJEUNER;10;PETIT DEJEUNER;PDJ;HOTEL
148;ME*SE;Menu Etape;ME;MENU;10;RESTAURANT MENUS;REST;RESTAURANT
149;SE*DBLE;Soir�e Etape;SE;SOIREE ETAPE;10;SOIREE ETAPE;FORF;HOTEL
150;SE*TWIN;Soir�e Etape;SE;SOIREE ETAPE;10;SOIREE ETAPE;FORF;HOTEL
151;SE*TRIPLE;Soir�e Etape;SE;SOIREE ETAPE;10;SOIREE ETAPE;FORF;HOTEL
152;SE*QUAD;Soir�e Etape;SE;SOIREE ETAPE;10;SOIREE ETAPE;FORF;HOTEL
153;SE*CONF+;Soir�e Etape;SE;SOIREE ETAPE;10;SOIREE ETAPE;FORF;HOTEL
154;TS;Taxe de S�jour;TS;TAXE DE SEJOUR;0;TAXE DE SEJOUR;TAXE;HOTEL
155;ANI;Forfait Animal;ANI;ANIMAUX;10;ANIMAUX;DIV;HOTEL
156;PANIERREPAS;Panier Repas;EMP2;VTE EMPORTER 10%;10;VENTE A EMPORTER;VEMP;HOTEL
157;LAVAGE;Jeton Lavage;DV2;DIVERS 20%;20;DIVERS;DIV;HOTEL
158;DV1;Divers � 10%;DV1;DIVERS 10%;10;DIVERS;DIV;HOTEL
159;DV2;Divers � 20%;DV2;DIVERS 20%;20;DIVERS;DIV;HOTEL
160;DEB;D�bours � 0,00%;DEB;DEBOURS;0;DEBOURS;DEB;HOTEL
161;ME*MIDI-A;Menu Midi Adulte;ME;MENU;10;RESTAURANT MENUS;REST;RESTAURANT
162;ME*SOIR-A;Menu Soir Adulte;ME;MENU;10;RESTAURANT MENUS;REST;RESTAURANT
163;SUP-DPA;Suppl�ment DP Adulte;SDP;SUPPLEMENT DP;10;SUPPLEMENT DP;FORF;HOTEL
164;SUP-DPE;Suppl�ment DP Enfant;SDP;SUPPLEMENT DP;10;SUPPLEMENT DP;FORF;HOTEL
165;ME*ENF;Menu Enfant DP;ME;MENU;10;RESTAURANT MENUS;REST;RESTAURANT
166;SUP-PCA;Suppl�ment PC Adulte;SDP;SUPPLEMENT DP;10;SUPPLEMENT DP;FORF;HOTEL
167;SUP-PCE;Suppl�ment PC Enfant;SDP;SUPPLEMENT DP;10;SUPPLEMENT DP;FORF;HOTEL
168;WI*DBLE;Chambre Double;WI;CHAMBRE IT;10;CHAMBRE RESERVIT;CHB;HOTEL
169;WI*TWIN;Chambre Twin;WI;CHAMBRE IT;10;CHAMBRE RESERVIT;CHB;HOTEL
170;WI*TRPL*2;Chambre Triple;WI;CHAMBRE IT;10;CHAMBRE RESERVIT;CHB;HOTEL
171;WI*QUAD*2;Chambre Quadruple;WI;CHAMBRE IT;10;CHAMBRE RESERVIT;CHB;HOTEL
172;WI*CONF+*2;Chambre Confort +;WI;CHAMBRE IT;10;CHAMBRE RESERVIT;CHB;HOTEL
173;CAFE;Caf�;CA;CAFETERIE;10;CAFETERIE;BARS;BAR
174;THE;Th�;CA;CAFETERIE;10;CAFETERIE;BARS;BAR
175;INFUSION;Infusion;CA;CAFETERIE;10;CAFETERIE;BARS;BAR
176;GRDCAF�;Grand Caf�;CA;CAFETERIE;10;CAFETERIE;BARS;BAR
177;CHOCOLAT;Chocolat Chaud;CA;CAFETERIE;10;CAFETERIE;BARS;BAR
178;X*CH*GRP;Chambre Groupe;CH;CHAMBRE;10;CHAMBRE;CHB;HOTEL
179;DP*GRP;Demi-Pension Groupe;DP;DEMI-PENSION;10;DEMI-PENSION;FORF;HOTEL
180;ME*29;Menu � 29�;ME;MENU;10;RESTAURANT MENUS;REST;RESTAURANT
181;ME*35;Menu � 35�;ME;MENU;10;RESTAURANT MENUS;REST;RESTAURANT
182;ME*ENFC;Menu Enfant � 12�;ME;MENU;10;RESTAURANT MENUS;REST;RESTAURANT
183;ME*JOUR;Menu du Jour;ME;MENU;10;RESTAURANT MENUS;REST;RESTAURANT
184;BARSOFT;Bar Soft;BARS;BAR SOFT;10;BAR SOFT;BARS;BAR
185;BARALCOOL;Bar Alcool;BARA;BAR ALCOOL;20;BAR ALCOOL;BARA;BAR
186;ENTREE;Entr�e du Jour;EN;ENTREES;10;RESTAURANT CARTES;REST;RESTAURANT
187;PLATDUJOUR;Plat du Jour;PV;VIANDES;10;RESTAURANT CARTES;REST;RESTAURANT
188;DESSERTDUJOUR;Dessert du Jour;TP;DESSERTS PATISS;10;RESTAURANT CARTES;REST;RESTAURANT
189;VERREVIN;Verre de Vin;VD;VIN DIVERS;20;CAVE;BARA;BAR
190;VERREVINSAVOIE;Verre de Vin de Savoie;VD;VIN DIVERS;20;CAVE;BARA;BAR
191;VERREVINBERGERON;Verre de Vin Bergeron;VD;VIN DIVERS;20;CAVE;BARA;BAR
192;VERREBXRHONE;Verre de Vin Bordeaux ou CDT;VD;VIN DIVERS;20;CAVE;BARA;BAR
193;EAU1;Eau Min�rale 1/1;EA;EAUX LIMONADE;10;BAR SOFT;BARS;BAR
195;HOEGAARDEN;Hoegaarden Ros� 25cl;BI;BIERES;20;BAR ALCOOL;BARA;BAR
196;TOURTELTWIST;Tourtel Twist 25cl;EA;EAUX LIMONADE;10;BAR SOFT;BARS;BAR
197;LIGNEDEAU;Ligne d'Eau;DEB;DEBOURS;0;DEBOURS;DEB;HOTEL
198;MASSAGESOIN;Massage Soin 0%;DEB;DEBOURS;0;DEBOURS;DEB;HOTEL
199;SUP-SINGLE;Suppl�ment Single;SCH;SUPPL CHAMBRE;10;SUPPLEMENT CHAMBRE;CHB;HOTEL
201;MOJITO;Schwepps Mojito;BARS;BAR SOFT;10;BAR SOFT;BARS;BAR
202;SIROP;Sirop � l'eau;BARS;BAR SOFT;10;BAR SOFT;BARS;BAR
203;STELLA 50CL;S�rieux Stella;BI;BIERES;20;BAR ALCOOL;BARA;BAR
204;LEFFE 50CL;S�rieux Leffe & Hoegaarden;BI;BIERES;20;BAR ALCOOL;BARA;BAR
205;COCKTAILMAISON SA;Cocktail Maison ss alcool;BARS;BAR SOFT;10;BAR SOFT;BARS;BAR
206;GLACE IMPULSION;Glaces impulsions & Cornets;EMP2;VTE EMPORTER 10%;10;VENTE A EMPORTER;VEMP;HOTEL
208;WI*CONF+*3;Chambre Confort +;WI;CHAMBRE IT;10;CHAMBRE RESERVIT;CHB;HOTEL
209;WI*CONF+*4;Chambre Confort +;WI;CHAMBRE IT;10;CHAMBRE RESERVIT;CHB;HOTEL
210;WI*TRPL*3;Chambre Triple;WI;CHAMBRE IT;10;CHAMBRE RESERVIT;CHB;HOTEL
211;WI*QUAD*3;Chambre Quadruple;WI;CHAMBRE IT;10;CHAMBRE RESERVIT;CHB;HOTEL
212;WI*QUAD*4;Chambre Quadruple;WI;CHAMBRE IT;10;CHAMBRE RESERVIT;CHB;HOTEL
213;PRELIMINAIRES;Pr�liminaires Lub�ron ros�;VR;VIN DU RHONE;20;CAVE;BARA;BAR
215;IVRE DE TOI;Ivre de Toi Lub�ron blanc;VR;VIN DU RHONE;20;CAVE;BARA;BAR
216;DELIT;D�lit d'Initi� Lub�ron rouge;VR;VIN DU RHONE;20;CAVE;BARA;BAR
217;COLLETINE;Coll�tine Lub�ron ros�e;VR;VIN DU RHONE;20;CAVE;BARA;BAR
218;BANDOL;Bandol Fr�gate ros�e;VP;VIN DE PROVENCE;20;CAVE;BARA;BAR
219;BOULEGLACE2;Les 2 Boules de Glace;TP;DESSERTS PATISS;10;RESTAURANT CARTES;REST;RESTAURANT
220;BOULEDEGLACE3;Les 3 Boules de Glace;TP;DESSERTS PATISS;10;RESTAURANT CARTES;REST;RESTAURANT
221;FLAMME KEBAB;Flammeküsche K�bab;EN;ENTREES;10;RESTAURANT CARTES;REST;RESTAURANT
222;CAVIAR;Caviar d'aubergines;EN;ENTREES;10;RESTAURANT CARTES;REST;RESTAURANT
223;GRATINECREVISSES;Gratin d'�crevisses;PO;POISSONS;10;RESTAURANT CARTES;REST;RESTAURANT
224;VERREVINARBIN;Verre de vin d'Arbin;VS;VIN DE SAVOIE;20;CAVE;BARA;BAR
225;LIT*BB;Lit B�b�;CH;CHAMBRE;10;CHAMBRE;CHB;HOTEL
226;BURGER;Burger du boucher;PV;VIANDES;10;RESTAURANT CARTES;REST;RESTAURANT
227;EAU1/2;Eau Min�rale 1/2;EA;EAUX LIMONADE;10;BAR SOFT;BARS;BAR
